X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro,Label
1.33,1.33,6.36,0.03,0.05,0.07,Normal
12.02,15.44,7.53,0.2,0.24,0.14,Normal
2.76,2.31,8.32,0.09,0.06,0.06,Normal
11.83,7.29,11.63,0.28,0.12,0.13,Normal
7.59,11.32,13.5,0.42,0.37,0.07,Normal
2.6,5.52,14.83,0.06,0.05,0.06,Normal
2.53,1.9,11.9,0.04,0.04,0.06,Normal
2.45,3.3,6.49,0.13,0.08,0.05,Normal
4.04,2.39,6.47,0.18,0.06,0.04,Normal
2.12,3.0,2.23,0.04,0.06,0.08,Normal
1.93,3.72,2.47,0.08,0.08,0.27,Normal
2.18,2.74,0.54,0.16,0.13,0.45,Normal
1.42,2.91,4.97,0.05,0.1,0.09,Normal
3.03,4.35,9.0,0.08,0.09,0.1,Normal
1.65,1.39,4.56,0.05,0.04,0.06,Normal
1.59,3.1,2.28,0.04,0.09,0.13,Normal
1.33,4.97,8.27,0.08,0.04,0.07,Normal
1.86,1.9,4.83,0.16,0.07,0.1,Normal
1.82,4.9,3.51,0.1,0.08,0.14,Normal
0.29,4.0,1.73,0.04,0.08,0.35,Normal
4.21,4.4,1.53,0.22,0.09,0.19,Normal
1.64,5.83,4.73,0.06,0.05,0.05,Normal
3.72,2.68,4.3,0.25,0.08,0.09,Normal
15.31,11.24,8.59,0.16,0.23,0.15,Normal
3.28,6.68,7.19,0.12,0.15,0.06,Normal
1.86,1.88,11.32,0.08,0.06,0.06,Normal
1.85,2.25,8.52,0.08,0.06,0.05,Normal
2.7,3.16,7.6,0.15,0.08,0.04,Normal
1.6,1.57,13.03,0.07,0.05,0.04,Normal
2.67,4.42,2.93,0.04,0.05,0.07,Normal
1.11,2.04,3.14,0.04,0.04,0.11,Normal
2.19,3.01,8.41,0.04,0.08,0.18,Normal
1.64,2.13,6.98,0.09,0.07,0.03,Normal
3.24,6.39,3.46,0.08,0.08,0.14,Normal
3.85,2.13,6.54,0.02,0.06,0.07,Normal
5.96,6.5,7.52,0.17,0.19,0.12,Normal
2.37,5.17,7.94,0.08,0.06,0.05,Normal
4.12,2.37,5.61,0.11,0.14,0.09,Normal
6.18,1.68,5.59,0.25,0.08,0.08,Normal
3.54,8.11,7.81,0.24,0.33,0.1,Normal
0.62,2.1,8.11,0.07,0.04,0.14,Normal
4.7,2.08,7.64,0.18,0.06,0.1,Normal
1.57,2.44,7.74,0.1,0.05,0.12,Normal
1.17,2.69,3.81,0.05,0.09,0.11,Normal
1.92,2.46,3.49,0.14,0.08,0.08,Normal
1.35,1.7,5.97,0.04,0.1,0.08,Normal
5.8,1.53,6.64,0.21,0.17,0.15,Normal
3.99,4.9,17.1,0.32,0.56,0.14,Normal
2.78,3.23,7.44,0.11,0.05,0.03,Normal
1.81,1.22,4.76,0.14,0.08,0.05,Normal
3.05,2.53,7.28,0.16,0.07,0.04,Normal
10.08,4.53,18.83,0.19,0.07,0.05,Normal
7.85,6.6,9.16,0.22,0.15,0.1,Normal
7.34,7.04,5.04,0.32,0.25,0.09,Normal
10.27,5.57,6.12,0.48,0.26,0.06,Normal
3.16,5.43,10.31,0.18,0.05,0.05,Normal
3.73,4.06,9.03,0.18,0.04,0.05,Normal
